City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Paris,48.8534,2.3488,304.5,45,0,4.63,FR,1723398420
1,London,51.5085,-0.1257,299.92,54,31,7.72,GB,1723398422
2,Oslo,59.9127,10.7461,292.9,45,4,2.44,NO,1723398962
3,Beijing,39.9075,116.3972,298.09,61,8,2.77,CN,1723398971
4,Mumbai,19.0144,72.8479,301.14,78,75,3.6,IN,1723398837
5,Manila,14.6042,120.9822,301.55,87,40,2.06,PH,1723398841
6,New York,40.7143,-74.006,300.53,53,0,4.12,US,1723398651
7,Seattle,47.6062,-122.3321,291.69,84,100,3.6,US,1723398791
8,Dallas,32.7668,-96.7836,307.92,58,54,1.34,US,1723398600
9,Taiwan,24.0,121.0,292.29,93,6,2.03,TW,1723398993
